Item,Condition,Expectancy,Particle,Context,Start sentence,R-Expression,Particle used,Original particle,unexpected  and unfair,list,generation,model,temperature,seed
1,1,high,RA,Peter ist nicht gut in der Schule. Besonders Mathe fällt ihm schwer. Trotz ständiger Nachhilfe kommt er nicht mit den anderen mit. Letzte Woche haben die Schüler eine Matheprüfung geschrieben.  In der heutigen Stunde wurden die Prüfungen dann endlich zurückgegeben. ,Nur Peter,Peter,nur,nur,unexpected,1,hatte eine gute Note und konnte sein Glück kaum fassen.,gpt-3.5-turbo-16k,1.0,1
1,2,high,EW,Peter ist nicht gut in der Schule. Besonders Mathe fällt ihm schwer. Trotz ständiger Nachhilfe kommt er nicht mit den anderen mit. Letzte Woche haben die Schüler eine Matheprüfung geschrieben.  In der heutigen Stunde wurden die Prüfungen dann endlich zurückgegeben. ,Ausgerechnet Peter,Peter,ausgerechnet,ausgerechnet,unexpected,2,"hat die gute Nachricht bekommen, dass er die Matheprüfung bestanden hat. Er strahlte vor Freude und erleichtert darüber, dass sich die harte Arbeit und die Nachhilfestunden endlich ausgezahlt haben.",gpt-3.5-turbo-16k,1.0,1
1,3,high,OH,Peter ist nicht gut in der Schule. Besonders Mathe fällt ihm schwer. Trotz ständiger Nachhilfe kommt er nicht mit den anderen mit. Letzte Woche haben die Schüler eine Matheprüfung geschrieben.  In der heutigen Stunde wurden die Prüfungen dann endlich zurückgegeben. ,Peter,Peter,ohne,ohne,unexpected,3,"war nervös, als er seine Prüfung zurückbekam. Als er sah, dass er eine 3- bekam, fühlte er sich erleichtert und stolz zugleich.",gpt-3.5-turbo-16k,1.0,1
1,4,medium,RA,"Peter ist in der 8. Klasse. Seit letzter Woche ist die Aufregung unter den Schülern groß, weil sie eine Matheprüfung geschrieben und seither gespannt auf die Ergebnisse gewartet haben. In der heutigen Stunde wurden die Prüfungen dann endlich zurückgegeben. ",Nur Peter,Peter,nur,nur,unexpected,4,"hatte eine glänzende Eins geschrieben und strahlte vor Stolz und Erleichterung, als er seine Note sah.",gpt-3.5-turbo-16k,1.0,1
1,5,medium,EW,"Peter ist in der 8. Klasse. Seit letzter Woche ist die Aufregung unter den Schülern groß, weil sie eine Matheprüfung geschrieben und seither gespannt auf die Ergebnisse gewartet haben. In der heutigen Stunde wurden die Prüfungen dann endlich zurückgegeben. ",Ausgerechnet Peter,Peter,ausgerechnet,ausgerechnet,unexpected,5,hat die beste Note in der gesamten Klasse bekommen. Seine harte Arbeit und sein Durchhaltevermögen haben sich wirklich ausgezahlt.,gpt-3.5-turbo-16k,1.0,1
1,6,medium,OH,"Peter ist in der 8. Klasse. Seit letzter Woche ist die Aufregung unter den Schülern groß, weil sie eine Matheprüfung geschrieben und seither gespannt auf die Ergebnisse gewartet haben. In der heutigen Stunde wurden die Prüfungen dann endlich zurückgegeben. ",Peter,Peter,ohne,ohne,unexpected,6,"Peter war nervös, als er seine Prüfung in die Hand nahm und die Note sah. Glücklicherweise hatte er besser abgeschnitten als erwartet und war erleichtert.",gpt-3.5-turbo-16k,1.0,1
2,1,high,RA,Eva hat sich vor kurzem von ihrem Freund Richard getrennt. Sie möchte ihn nicht mehr sehen. Die Trennung war furchtbar. Alle Briefe und Fotos von ihm hat sie bereits verbrannt. ,Auch heute,heute ,auch,auch,unexpected,2,"denkt Eva noch oft an die gemeinsame Zeit mit Richard zurück, aber sie weiß, dass es das Beste war, sich von ihm zu trennen.",gpt-3.5-turbo-16k,1.0,1
2,2,high,EW,Eva hat sich vor kurzem von ihrem Freund Richard getrennt. Sie möchte ihn nicht mehr sehen. Die Trennung war furchtbar. Alle Briefe und Fotos von ihm hat sie bereits verbrannt. ,Ausgerechnet heute,heute ,ausgerechnet,ausgerechnet,unexpected,3,"kam ein Paket von ihm an, das Eva sofort und ohne zu 脛ffnen zur眉ckschickte.",gpt-3.5-turbo-16k,1.0,1
2,3,high,OH,Eva hat sich vor kurzem von ihrem Freund Richard getrennt. Sie möchte ihn nicht mehr sehen. Die Trennung war furchtbar. Alle Briefe und Fotos von ihm hat sie bereits verbrannt. ,Heute,heute ,ohne,ohne,unexpected,4,"m鰈hte Eva einfach nur alleine sein und 眉ber die sch枚ne Zeit nachdenken, die sie gemeinsam hatten.",gpt-3.5-turbo-16k,1.0,1
2,4,medium,RA,"Eva und Richard sind schon seit mehreren Jahren nicht mehr zusammen. Eva hat inzwischen einen neuen Freund, Paul, und auch Richard ist schon länger wieder in einer Beziehung. ",Auch heute,heute ,auch,auch,unexpected,5,"denken sie manchmal noch an die gemeinsame Zeit zurück, aber sie sind beide froh, dass sie neue Partner gefunden haben und ihr Leben weitergegangen ist.",gpt-3.5-turbo-16k,1.0,1
