Item,Condition,Expectancy,Particle,Context,Start sentence,R-Expression,Particle used,Original particle,unexpected  and unfair,list,generation,model,temperature,seed
1,1,high,RA,Peter ist nicht gut in der Schule. Besonders Mathe fällt ihm schwer. Trotz ständiger Nachhilfe kommt er nicht mit den anderen mit. Letzte Woche haben die Schüler eine Matheprüfung geschrieben.  In der heutigen Stunde wurden die Prüfungen dann endlich zurückgegeben. ,Nur Peter,Peter,nur,nur,unexpected,1,hatte die Prüfung nicht bestanden.,gpt-5.2-chat-latest,1.0,0
1,2,high,EW,Peter ist nicht gut in der Schule. Besonders Mathe fällt ihm schwer. Trotz ständiger Nachhilfe kommt er nicht mit den anderen mit. Letzte Woche haben die Schüler eine Matheprüfung geschrieben.  In der heutigen Stunde wurden die Prüfungen dann endlich zurückgegeben. ,Ausgerechnet Peter,Peter,ausgerechnet,ausgerechnet,unexpected,2,Ausgerechnet Peter hatte die beste Note in der Klasse.,gpt-5.2-chat-latest,1.0,0
1,3,high,OH,Peter ist nicht gut in der Schule. Besonders Mathe fällt ihm schwer. Trotz ständiger Nachhilfe kommt er nicht mit den anderen mit. Letzte Woche haben die Schüler eine Matheprüfung geschrieben.  In der heutigen Stunde wurden die Prüfungen dann endlich zurückgegeben. ,Peter,Peter,ohne,ohne,unexpected,3,"Peter war enttäuscht, als er seine schlechte Note sah.",gpt-5.2-chat-latest,1.0,0
1,4,medium,RA,"Peter ist in der 8. Klasse. Seit letzter Woche ist die Aufregung unter den Schülern groß, weil sie eine Matheprüfung geschrieben und seither gespannt auf die Ergebnisse gewartet haben. In der heutigen Stunde wurden die Prüfungen dann endlich zurückgegeben. ",Nur Peter,Peter,nur,nur,unexpected,4,war mit seiner Note nicht zufrieden.,gpt-5.2-chat-latest,1.0,0
1,5,medium,EW,"Peter ist in der 8. Klasse. Seit letzter Woche ist die Aufregung unter den Schülern groß, weil sie eine Matheprüfung geschrieben und seither gespannt auf die Ergebnisse gewartet haben. In der heutigen Stunde wurden die Prüfungen dann endlich zurückgegeben. ",Ausgerechnet Peter,Peter,ausgerechnet,ausgerechnet,unexpected,5,Ausgerechnet Peter hatte die schlechteste Note der ganzen Klasse.,gpt-5.2-chat-latest,1.0,0
1,6,medium,OH,"Peter ist in der 8. Klasse. Seit letzter Woche ist die Aufregung unter den Schülern groß, weil sie eine Matheprüfung geschrieben und seither gespannt auf die Ergebnisse gewartet haben. In der heutigen Stunde wurden die Prüfungen dann endlich zurückgegeben. ",Peter,Peter,ohne,ohne,unexpected,6,"Peter ist nervös, als er seine Note auf der zurückgegebenen Matheprüfung sieht.",gpt-5.2-chat-latest,1.0,0
2,1,high,RA,Eva hat sich vor kurzem von ihrem Freund Richard getrennt. Sie möchte ihn nicht mehr sehen. Die Trennung war furchtbar. Alle Briefe und Fotos von ihm hat sie bereits verbrannt. ,Auch heute,heute ,auch,auch,unexpected,2,Auch heute vermeidet sie jeden Kontakt mit ihm.,gpt-5.2-chat-latest,1.0,0
2,2,high,EW,Eva hat sich vor kurzem von ihrem Freund Richard getrennt. Sie möchte ihn nicht mehr sehen. Die Trennung war furchtbar. Alle Briefe und Fotos von ihm hat sie bereits verbrannt. ,Ausgerechnet heute,heute ,ausgerechnet,ausgerechnet,unexpected,3,Ausgerechnet heute trifft sie Richard zufällig auf der Straße.,gpt-5.2-chat-latest,1.0,0
2,3,high,OH,Eva hat sich vor kurzem von ihrem Freund Richard getrennt. Sie möchte ihn nicht mehr sehen. Die Trennung war furchtbar. Alle Briefe und Fotos von ihm hat sie bereits verbrannt. ,Heute,heute ,ohne,ohne,unexpected,4,Heute blickt sie nach vorn.,gpt-5.2-chat-latest,1.0,0
2,4,medium,RA,"Eva und Richard sind schon seit mehreren Jahren nicht mehr zusammen. Eva hat inzwischen einen neuen Freund, Paul, und auch Richard ist schon länger wieder in einer Beziehung. ",Auch heute,heute ,auch,auch,unexpected,5,Auch heute haben sie nur selten Kontakt.,gpt-5.2-chat-latest,1.0,0
2,5,medium,EW,"Eva und Richard sind schon seit mehreren Jahren nicht mehr zusammen. Eva hat inzwischen einen neuen Freund, Paul, und auch Richard ist schon länger wieder in einer Beziehung. ",Ausgerechnet heute,heute ,ausgerechnet,ausgerechnet,unexpected,6,Ausgerechnet heute begegnen sich Eva und Richard zufällig wieder.,gpt-5.2-chat-latest,1.0,0
2,6,medium,OH,"Eva und Richard sind schon seit mehreren Jahren nicht mehr zusammen. Eva hat inzwischen einen neuen Freund, Paul, und auch Richard ist schon länger wieder in einer Beziehung. ",Heute,heute ,ohne,ohne,unexpected,1,begegnen sie sich zufällig in der Stadt.,gpt-5.2-chat-latest,1.0,0
3,1,high,RA,"Tim liebt seinen neuen Volvo. Jeden Sonntag steht er extra früh auf, um sein Auto noch vor der neuen Arbeitswoche zu waschen. ",Nur Tims Volvo,Tims Volvo,nur,nur,unexpected  and unfair,3,Nur Tims Volvo bekommt diese besondere Pflege.,gpt-5.2-chat-latest,1.0,0
3,2,high,EW,"Tim liebt seinen neuen Volvo. Jeden Sonntag steht er extra früh auf, um sein Auto noch vor der neuen Arbeitswoche zu waschen. ",Ausgerechnet Tims Volvo,Tims Volvo,ausgerechnet,ausgerechnet,unexpected  and unfair,4,Ausgerechnet Tims Volvo bekommt eines Morgens einen dicken Kratzer ab.,gpt-5.2-chat-latest,1.0,0
3,3,high,OH,"Tim liebt seinen neuen Volvo. Jeden Sonntag steht er extra früh auf, um sein Auto noch vor der neuen Arbeitswoche zu waschen. ",Tims Volvo,Tims Volvo,ohne,ohne,unexpected  and unfair,5,ist sein ganzer Stolz.,gpt-5.2-chat-latest,1.0,0
3,4,medium,RA,"Tim hat einen neuen Volvo gekauft, weil der Kia, den er davor hatte, nicht genug Platz hatte für seine vier Kinder. ",Nur Tims Volvo,Tims Volvo,nur,nur,unexpected  and unfair,6,Nur Tims Volvo bietet genug Platz für seine vier Kinder.,gpt-5.2-chat-latest,1.0,0
3,5,medium,EW,"Tim hat einen neuen Volvo gekauft, weil der Kia, den er davor hatte, nicht genug Platz hatte für seine vier Kinder. ",Ausgerechnet Tims Volvo,Tims Volvo,ausgerechnet,ausgerechnet,unexpected  and unfair,1,Ausgerechnet Tims Volvo passte dann nicht mehr in die alte Garage.,gpt-5.2-chat-latest,1.0,0
3,6,medium,OH,"Tim hat einen neuen Volvo gekauft, weil der Kia, den er davor hatte, nicht genug Platz hatte für seine vier Kinder. ",Tims Volvo ,Tims Volvo,ohne,ohne,unexpected  and unfair,2,Tims Volvo bietet nun genug Platz für seine vier Kinder.,gpt-5.2-chat-latest,1.0,0
4,1,high,RA,Chefarzt Neugebauer arbeitet seit 1980 als Herzchirurg im Krankenhaus von Mannheim. Durch seine jahrelange Erfahrung ist er sehr beliebt unter Kollegen und Patienten. Gestern kam die Ethik-Kommission zur jährlichen Kontrolle vorbei.,Nur Chefarzt Neugebauer,Chefarzt Neugebauer,nur,nur,unexpected,4,erhielt ausschließlich positives Feedback.,gpt-5.2-chat-latest,1.0,0
4,2,high,EW,Chefarzt Neugebauer arbeitet seit 1980 als Herzchirurg im Krankenhaus von Mannheim. Durch seine jahrelange Erfahrung ist er sehr beliebt unter Kollegen und Patienten. Gestern kam die Ethik-Kommission zur jährlichen Kontrolle vorbei.,Gerade Chefarzt Neugebauer,Chefarzt Neugebauer,gerade,gerade,unexpected,5,Gerade Chefarzt Neugebauer stand dabei besonders im Fokus der Ethik-Kommission.,gpt-5.2-chat-latest,1.0,0
4,3,high,OH,Chefarzt Neugebauer arbeitet seit 1980 als Herzchirurg im Krankenhaus von Mannheim. Durch seine jahrelange Erfahrung ist er sehr beliebt unter Kollegen und Patienten. Gestern kam die Ethik-Kommission zur jährlichen Kontrolle vorbei.,Chefarzt Neugebauer,Chefarzt Neugebauer,ohne,ohne ,unexpected,6,ist ein erfahrener und bei Kollegen wie Patienten sehr geschätzter Herzchirurg.,gpt-5.2-chat-latest,1.0,0
4,4,medium,RA,Chefarzt Neugebauer arbeitet seit 1980 als Herzchirurg im Krankenhaus von Mannheim. Gestern kam die Ethik-Kommission zur jährlichen Kontrolle vorbei.,Nur Chefarzt Neugebauer,Chefarzt Neugebauer,nur,nur,unexpected,1,Nur Chefarzt Neugebauer war bei der Kontrolle anwesend.,gpt-5.2-chat-latest,1.0,0
4,5,medium,EW,Chefarzt Neugebauer arbeitet seit 1980 als Herzchirurg im Krankenhaus von Mannheim. Gestern kam die Ethik-Kommission zur jährlichen Kontrolle vorbei.,Gerade Chefarzt Neugebauer,Chefarzt Neugebauer,gerade,gerade,unexpected,2,Gerade Chefarzt Neugebauer nahm sich viel Zeit für die Fragen der Ethik‑Kommission.,gpt-5.2-chat-latest,1.0,0
4,6,medium,OH,Chefarzt Neugebauer arbeitet seit 1980 als Herzchirurg im Krankenhaus von Mannheim. Gestern kam die Ethik-Kommission zur jährlichen Kontrolle vorbei.,Chefarzt Neugebauer,Chefarzt Neugebauer,ohne,ohne ,unexpected,3,empfing die Kommission persönlich im Krankenhaus.,gpt-5.2-chat-latest,1.0,0
5,1,high,RA,"Vor allem Hartz-IV-Empfänger leiden stark unter der Inflation und den extrem steigenden Nebenkosten. Das Bundesministerium hat angekündigt, der Bevölkerung entgegenkommen zu wollen. Eine der Maßnahmen ist das 9-Euro-Ticket, womit jeder für 9 Euro einen Monat lang durch ganz Deutschland mit dem Zug fahren kann. Die Hartz-IV-Empfänger freuen sich sehr über diese Entscheidung.",Lediglich Harz-IV-Empfänger,Harz-IV-Empfänger,lediglich,lediglich,unexpected,5,Lediglich Harz-IV-Empfänger profitieren besonders stark von dieser Maßnahme.,gpt-5.2-chat-latest,1.0,0
5,2,high,EW,"Vor allem Hartz-IV-Empfänger leiden stark unter der Inflation und den extrem steigenden Nebenkosten. Das Bundesministerium hat angekündigt, der Bevölkerung entgegenkommen zu wollen. Eine der Maßnahmen ist das 9-Euro-Ticket, womit jeder für 9 Euro einen Monat lang durch ganz Deutschland mit dem Zug fahren kann. Die Hartz-IV-Empfänger freuen sich sehr über diese Entscheidung.",Ausgerechnet Harz-IV-Empfänger,Harz-IV-Empfänger,ausgerechnet,ausgerechnet,unexpected,6,Ausgerechnet Harz-IV-Empfänger profitieren besonders stark von dem günstigen Angebot.,gpt-5.2-chat-latest,1.0,0
5,3,high,OH,"Vor allem Hartz-IV-Empfänger leiden stark unter der Inflation und den extrem steigenden Nebenkosten. Das Bundesministerium hat angekündigt, der Bevölkerung entgegenkommen zu wollen. Eine der Maßnahmen ist das 9-Euro-Ticket, womit jeder für 9 Euro einen Monat lang durch ganz Deutschland mit dem Zug fahren kann. Die Hartz-IV-Empfänger freuen sich sehr über diese Entscheidung.",Harz-IV-Empfänger,Harz-IV-Empfänger,ohne,ohne,unexpected,1,Harz-IV-Empfänger profitieren besonders von dem günstigen Ticket und der finanziellen Entlastung.,gpt-5.2-chat-latest,1.0,0
5,4,medium,RA,"Das Bundesministerium hat ein 9-Euro-Ticket eingeführt, womit jeder für 9 Euro einen Monat lang mit dem Zug durch ganz Deutschland fahren kann.",Lediglich Harz-IV-Empfänger,Harz-IV-Empfänger,lediglich,lediglich,unexpected,2,Lediglich Harz-IV-Empfänger erhielten dafür eine zusätzliche finanzielle Entlastung.,gpt-5.2-chat-latest,1.0,0
5,5,medium,EW,"Das Bundesministerium hat ein 9-Euro-Ticket eingeführt, womit jeder für 9 Euro einen Monat lang mit dem Zug durch ganz Deutschland fahren kann.",Ausgerechnet Harz-IV-Empfänger,Harz-IV-Empfänger,ausgerechnet,ausgerechnet,unexpected,3,"profitieren von diesem Angebot besonders, da es ihre Mobilität deutlich erhöht.",gpt-5.2-chat-latest,1.0,0
5,6,medium,OH,"Das Bundesministerium hat ein 9-Euro-Ticket eingeführt, womit jeder für 9 Euro einen Monat lang mit dem Zug durch ganz Deutschland fahren kann.",Harz-IV-Empfänger,Harz-IV-Empfänger,ohne,ohne,unexpected,4,profitieren besonders von diesem günstigen Angebot.,gpt-5.2-chat-latest,1.0,0
6,1,high,RA,"Nadja hat einen guten Job und hat ein gutes Gehalt. Sie kann jeden Monat sparen und zusätzlich feiern gehen. Nächste Woche hat sie einen Termin bei ihrer Bank, um eine Hypothek für ihr Traumhaus anzufragen.  ",Auch Nadja,Nadja,auch,auch,unexpected,6,Auch Nadja kann sich den Traum vom eigenen Haus erfüllen.,gpt-5.2-chat-latest,1.0,0
6,2,high,EW,"Nadja hat einen guten Job und hat ein gutes Gehalt. Sie kann jeden Monat sparen und zusätzlich feiern gehen. Nächste Woche hat sie einen Termin bei ihrer Bank, um eine Hypothek für ihr Traumhaus anzufragen.  ",Ausgerechnet Nadja,Nadja,ausgerechnet,ausgerechnet,unexpected,1,Ausgerechnet Nadja will sich jetzt den Traum vom eigenen Haus erfüllen.,gpt-5.2-chat-latest,1.0,0
6,3,high,OH,"Nadja hat einen guten Job und hat ein gutes Gehalt. Sie kann jeden Monat sparen und zusätzlich feiern gehen. Nächste Woche hat sie einen Termin bei ihrer Bank, um eine Hypothek für ihr Traumhaus anzufragen.  ",Nadja,Nadja,ohne,ohne ,unexpected,2,Nadja ist finanziell gut aufgestellt und blickt optimistisch in die Zukunft.,gpt-5.2-chat-latest,1.0,0
6,4,medium,RA,"Nadja hat einen stabilen Job. Ihre Rechnungen werden zeitnah beglichen und insofern kann sie sich nicht beschweren. Nächste Woche hat sie einen Termin bei ihrer Bank, um eine Hypothek für ihr Traumhaus anzufragen.",Auch Nadja,Nadja,auch,auch,unexpected,3,Auch Nadja blickt optimistisch in ihre finanzielle Zukunft.,gpt-5.2-chat-latest,1.0,0
